Country,DateRep,ConfirmedCases,Deaths,Recovered,Continent,Code
Malaysia,2020-02-11,18,0,3,Asia,MYS
Nepal,2020-02-11,1,0,0,Asia,NPL
Others,2020-02-11,135,0,0,Outro,NA
Philippines,2020-02-11,3,1,0,Asia,PHL
Russia,2020-02-11,2,0,0,Europe,RUS
Singapore,2020-02-11,47,0,9,Asia,SGP
South Korea,2020-02-11,28,0,3,Asia,KOR
Spain,2020-02-11,2,0,0,Europe,ESP
Sri Lanka,2020-02-11,1,0,1,Asia,LKA
Sweden,2020-02-11,1,0,0,Europe,SWE
Taiwan,2020-02-11,18,0,1,Asia,TWN
Thailand,2020-02-11,33,0,10,Asia,THA
United Kingdom,2020-02-11,8,0,0,Europe,GBR
United Arab Emirates,2020-02-11,8,0,0,Asia,ARE
United States,2020-02-11,13,0,3,Americas,USA
Vietnam,2020-02-11,15,0,6,Asia,VNM
Australia,2020-02-12,15,0,2,Oceania,AUS
Belgium,2020-02-12,1,0,0,Europe,BEL
Cambodia,2020-02-12,1,0,1,Asia,KHM
Canada,2020-02-12,7,0,1,Americas,CAN
Finland,2020-02-12,1,0,1,Europe,FIN
France,2020-02-12,11,0,2,Europe,FRA
Germany,2020-02-12,16,0,0,Europe,DEU
Hong Kong SAR China,2020-02-12,50,1,1,Asia,HKG
India,2020-02-12,3,0,0,Asia,IND
Italy,2020-02-12,3,0,0,Europe,ITA
Japan,2020-02-12,28,0,9,Asia,JPN
Macao SAR China,2020-02-12,10,0,2,Asia,MAC
China,2020-02-12,44699,1116,5079,Asia,CHN
Malaysia,2020-02-12,18,0,3,Asia,MYS
Nepal,2020-02-12,1,0,1,Asia,NPL
Others,2020-02-12,175,0,0,Outro,NA
Philippines,2020-02-12,3,1,1,Asia,PHL
Russia,2020-02-12,2,0,2,Europe,RUS
Singapore,2020-02-12,50,0,15,Asia,SGP
South Korea,2020-02-12,28,0,7,Asia,KOR
Spain,2020-02-12,2,0,0,Europe,ESP
Sri Lanka,2020-02-12,1,0,1,Asia,LKA
Sweden,2020-02-12,1,0,0,Europe,SWE
Taiwan,2020-02-12,18,0,1,Asia,TWN
Thailand,2020-02-12,33,0,10,Asia,THA
United Kingdom,2020-02-12,9,0,1,Europe,GBR
United Arab Emirates,2020-02-12,8,0,1,Asia,ARE
United States,2020-02-12,13,0,3,Americas,USA
Vietnam,2020-02-12,15,0,6,Asia,VNM
Australia,2020-02-13,15,0,8,Oceania,AUS
Belgium,2020-02-13,1,0,0,Europe,BEL
Cambodia,2020-02-13,1,0,1,Asia,KHM
Canada,2020-02-13,7,0,1,Americas,CAN
Finland,2020-02-13,1,0,1,Europe,FIN
France,2020-02-13,11,0,2,Europe,FRA
Germany,2020-02-13,16,0,1,Europe,DEU
Hong Kong SAR China,2020-02-13,53,1,1,Asia,HKG
India,2020-02-13,3,0,0,Asia,IND
Italy,2020-02-13,3,0,0,Europe,ITA
Japan,2020-02-13,28,1,9,Asia,JPN
Macao SAR China,2020-02-13,10,0,3,Asia,MAC
China,2020-02-13,59832,1368,6213,Asia,CHN
Malaysia,2020-02-13,19,0,3,Asia,MYS
Nepal,2020-02-13,1,0,1,Asia,NPL
Others,2020-02-13,175,0,0,Outro,NA
Philippines,2020-02-13,3,1,1,Asia,PHL
Russia,2020-02-13,2,0,2,Europe,RUS
Singapore,2020-02-13,58,0,15,Asia,SGP
South Korea,2020-02-13,28,0,7,Asia,KOR
Spain,2020-02-13,2,0,0,Europe,ESP
