Country,DateRep,ConfirmedCases,Deaths,Recovered,Continent
United Kingdom,2020-02-13,9,0,1,Europe
United Arab Emirates,2020-02-13,8,0,1,Asia
US,2020-02-13,15,0,3,Americas
Vietnam,2020-02-13,16,0,7,Asia
Australia,2020-02-14,15,0,8,Oceania
Belgium,2020-02-14,1,0,0,Europe
Cambodia,2020-02-14,1,0,1,Asia
Canada,2020-02-14,7,0,1,Americas
Egypt,2020-02-14,1,0,0,Africa
Finland,2020-02-14,1,0,1,Europe
France,2020-02-14,11,0,2,Europe
Germany,2020-02-14,16,0,1,Europe
Hong Kong,2020-02-14,56,1,1,Asia
India,2020-02-14,3,0,0,Asia
Italy,2020-02-14,3,0,0,Europe
Japan,2020-02-14,29,1,9,Asia
Macau,2020-02-14,10,0,3,Asia
China,2020-02-14,66292,1520,7973,Asia
Malaysia,2020-02-14,19,0,3,Asia
Nepal,2020-02-14,1,0,1,Asia
Others,2020-02-14,218,0,0,Outro
Philippines,2020-02-14,3,1,1,Asia
Russia,2020-02-14,2,0,2,Europe
Singapore,2020-02-14,67,0,17,Asia
South Korea,2020-02-14,28,0,7,Asia
Spain,2020-02-14,2,0,0,Europe
Sri Lanka,2020-02-14,1,0,1,Asia
Sweden,2020-02-14,1,0,0,Europe
Taiwan,2020-02-14,18,0,2,Asia
Thailand,2020-02-14,33,0,12,Asia
United Kingdom,2020-02-14,9,0,1,Europe
United Arab Emirates,2020-02-14,8,0,1,Asia
US,2020-02-14,15,0,3,Americas
Vietnam,2020-02-14,16,0,7,Asia
Australia,2020-02-15,15,0,8,Oceania
Belgium,2020-02-15,1,0,0,Europe
Cambodia,2020-02-15,1,0,1,Asia
Canada,2020-02-15,7,0,1,Americas
Egypt,2020-02-15,1,0,0,Africa
Finland,2020-02-15,1,0,1,Europe
France,2020-02-15,12,1,4,Europe
Germany,2020-02-15,16,0,1,Europe
Hong Kong,2020-02-15,56,1,1,Asia
India,2020-02-15,3,0,0,Asia
Italy,2020-02-15,3,0,0,Europe
Japan,2020-02-15,43,1,12,Asia
Macau,2020-02-15,10,0,3,Asia
China,2020-02-15,68347,1662,9294,Asia
Malaysia,2020-02-15,22,0,7,Asia
Nepal,2020-02-15,1,0,1,Asia
Others,2020-02-15,285,0,0,Outro
Philippines,2020-02-15,3,1,1,Asia
Russia,2020-02-15,2,0,2,Europe
Singapore,2020-02-15,72,0,18,Asia
South Korea,2020-02-15,28,0,9,Asia
Spain,2020-02-15,2,0,2,Europe
Sri Lanka,2020-02-15,1,0,1,Asia
Sweden,2020-02-15,1,0,0,Europe
Taiwan,2020-02-15,18,0,2,Asia
Thailand,2020-02-15,33,0,12,Asia
United Kingdom,2020-02-15,9,0,1,Europe
United Arab Emirates,2020-02-15,8,0,3,Asia
US,2020-02-15,15,0,3,Americas
Vietnam,2020-02-15,16,0,7,Asia
Australia,2020-02-16,15,0,8,Oceania
Belgium,2020-02-16,1,0,0,Europe
Cambodia,2020-02-16,1,0,1,Asia
Canada,2020-02-16,7,0,1,Americas
Egypt,2020-02-16,1,0,0,Africa
Finland,2020-02-16,1,0,1,Europe
France,2020-02-16,12,1,4,Europe
Germany,2020-02-16,16,0,1,Europe
Hong Kong,2020-02-16,57,1,2,Asia
India,2020-02-16,3,0,3,Asia
Italy,2020-02-16,3,0,0,Europe
Japan,2020-02-16,59,1,12,Asia
Macau,2020-02-16,10,0,5,Asia
China,2020-02-16,70446,1765,10748,Asia
Malaysia,2020-02-16,22,0,7,Asia
Nepal,2020-02-16,1,0,1,Asia
Others,2020-02-16,355,0,0,Outro
Philippines,2020-02-16,3,1,1,Asia
Russia,2020-02-16,2,0,2,Europe
Singapore,2020-02-16,75,0,18,Asia
South Korea,2020-02-16,29,0,9,Asia
Spain,2020-02-16,2,0,2,Europe
Sri Lanka,2020-02-16,1,0,1,Asia
Sweden,2020-02-16,1,0,0,Europe
Taiwan,2020-02-16,20,1,2,Asia
Thailand,2020-02-16,34,0,14,Asia
United Kingdom,2020-02-16,9,0,8,Europe
United Arab Emirates,2020-02-16,9,0,4,Asia
US,2020-02-16,15,0,3,Americas
Vietnam,2020-02-16,16,0,7,Asia
Australia,2020-02-17,15,0,10,Oceania
Belgium,2020-02-17,1,0,1,Europe
Cambodia,2020-02-17,1,0,1,Asia
Canada,2020-02-17,8,0,1,Americas
Egypt,2020-02-17,1,0,0,Africa
Finland,2020-02-17,1,0,1,Europe
